"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\frontend\lib\dummy-module.js", "JavaScript", 0, 0, 0, 9, 0, 0, 1, 2, 12
"d:\HDSP_HYBRID\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\HDSP_HYBRID\frontend\next.config.mjs", "JavaScript", 0, 0, 0, 101, 0, 0, 18, 13, 132
"d:\HDSP_HYBRID\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 7999, 0, 0, 1, 8000
"d:\HDSP_HYBRID\frontend\package.json", "JSON", 0, 0, 0, 0, 54, 0, 0, 1, 55
"d:\HDSP_HYBRID\frontend\public\logo-full.svg", "XML", 0, 0, 0, 0, 0, 15787, 0, 90, 15877
"d:\HDSP_HYBRID\frontend\public\logo-icon.svg", "XML", 0, 0, 0, 0, 0, 11196, 0, 52, 11248
"d:\HDSP_HYBRID\frontend\src\app\(auth)\change-password\page.tsx", "TypeScript JSX", 169, 0, 0, 0, 0, 0, 0, 15, 184
"d:\HDSP_HYBRID\frontend\src\app\(auth)\login\page.tsx", "TypeScript JSX", 801, 0, 0, 0, 0, 0, 55, 46, 902
"d:\HDSP_HYBRID\frontend\src\app\(auth)\setup\page.tsx", "TypeScript JSX", 202, 0, 0, 0, 0, 0, 4, 20, 226
"d:\HDSP_HYBRID\frontend\src\app\(platform)\attendance\monitoring\page.tsx", "TypeScript JSX", 424, 0, 0, 0, 0, 0, 0, 26, 450
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\displays\page.tsx", "TypeScript JSX", 870, 0, 0, 0, 0, 0, 20, 74, 964
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\emergency\page.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 0, 0, 16, 152
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\groups\page.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 19, 154
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\media\page.tsx", "TypeScript JSX", 294, 0, 0, 0, 0, 0, 2, 23, 319
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\monitoring\page.tsx", "TypeScript JSX", 245, 0, 0, 0, 0, 0, 1, 24, 270
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\[id]\page.tsx", "TypeScript JSX", 612, 0, 0, 0, 0, 0, 14, 52, 678
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\page.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 0, 0, 13, 162
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\settings\page.tsx", "TypeScript JSX", 107, 0, 0, 0, 0, 0, 0, 14, 121
"d:\HDSP_HYBRID\frontend\src\app\(platform)\dashboard\page.tsx", "TypeScript JSX", 634, 0, 0, 0, 0, 0, 23, 36, 693
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\[id]\page.tsx", "TypeScript JSX", 808, 0, 0, 0, 0, 0, 19, 81, 908
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\page.tsx", "TypeScript JSX", 267, 0, 0, 0, 0, 0, 3, 24, 294
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\discharge\[id]\page.tsx", "TypeScript JSX", 455, 0, 0, 0, 0, 0, 3, 17, 475
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\[id]\page.tsx", "TypeScript JSX", 1161, 0, 0, 0, 0, 0, 23, 58, 1242
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\new\page.tsx", "TypeScript JSX", 242, 0, 0, 0, 0, 0, 6, 24, 272
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\layout.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\page.tsx", "TypeScript JSX", 101, 0, 0, 0, 0, 0, 1, 8, 110
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\[id]\page.tsx", "TypeScript JSX", 368, 0, 0, 0, 0, 0, 12, 30, 410
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\new\page.tsx", "TypeScript JSX", 210, 0, 0, 0, 0, 0, 4, 21, 235
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\page.tsx", "TypeScript JSX", 235, 0, 0, 0, 0, 0, 2, 12, 249
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\search\page.tsx", "TypeScript JSX", 248, 0, 0, 0, 0, 0, 8, 25, 281
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\[id]\page.tsx", "TypeScript JSX", 813, 0, 0, 0, 0, 0, 35, 76, 924
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\new\page.tsx", "TypeScript JSX", 278, 0, 0, 0, 0, 0, 7, 28, 313
"d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\page.tsx", "TypeScript JSX", 164, 0, 0, 0, 0, 0, 2, 14, 180
