Date : 2026-07-16 13:32:32
Directory : d:\HDSP_HYBRID\frontend
Total : 142 files,  68096 codes, 1841 comments, 3338 blanks, all 73275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        109 |     30,651 |      1,503 |      2,766 |     34,920 |
| XML                |          2 |     26,983 |          0 |        142 |     27,125 |
| JSON               |          2 |      8,053 |          0 |          2 |      8,055 |
| TypeScript         |         26 |      2,272 |        319 |        412 |      3,003 |
| JavaScript         |          2 |        110 |         19 |         15 |        144 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        142 |     68,096 |      1,841 |      3,338 |     73,275 |
| . (Files)                                                                            |          5 |      8,181 |         22 |         18 |      8,221 |
| lib                                                                                  |          1 |          9 |          1 |          2 |         12 |
| public                                                                               |          2 |     26,983 |          0 |        142 |     27,125 |
| src                                                                                  |        134 |     32,923 |      1,818 |      3,176 |     37,917 |
| src\app                                                                              |         96 |     28,914 |      1,432 |      2,577 |     32,923 |
| src\app (Files)                                                                      |          2 |         43 |          4 |          6 |         53 |
| src\app\(auth)                                                                       |          3 |      1,172 |         59 |         81 |      1,312 |
| src\app\(auth)\change-password                                                       |          1 |        169 |          0 |         15 |        184 |
| src\app\(auth)\login                                                                 |          1 |        801 |         55 |         46 |        902 |
| src\app\(auth)\setup                                                                 |          1 |        202 |          4 |         20 |        226 |
| src\app\(platform)                                                                   |         63 |     22,582 |        823 |      1,906 |     25,311 |
| src\app\(platform) (Files)                                                           |          1 |        617 |         31 |         44 |        692 |
| src\app\(platform)\attendance                                                        |          1 |        424 |          0 |         26 |        450 |
| src\app\(platform)\attendance\monitoring                                             |          1 |        424 |          0 |         26 |        450 |
| src\app\(platform)\cms                                                               |          8 |      2,548 |         37 |        235 |      2,820 |
| src\app\(platform)\cms\displays                                                      |          1 |        870 |         20 |         74 |        964 |
| src\app\(platform)\cms\emergency                                                     |          1 |        136 |          0 |         16 |        152 |
| src\app\(platform)\cms\groups                                                        |          1 |        135 |          0 |         19 |        154 |
| src\app\(platform)\cms\media                                                         |          1 |        294 |          2 |         23 |        319 |
| src\app\(platform)\cms\monitoring                                                    |          1 |        245 |          1 |         24 |        270 |
| src\app\(platform)\cms\playlists                                                     |          2 |        761 |         14 |         65 |        840 |
| src\app\(platform)\cms\playlists (Files)                                             |          1 |        149 |          0 |         13 |        162 |
| src\app\(platform)\cms\playlists\[id]                                                |          1 |        612 |         14 |         52 |        678 |
| src\app\(platform)\cms\settings                                                      |          1 |        107 |          0 |         14 |        121 |
| src\app\(platform)\dashboard                                                         |          1 |        634 |         23 |         36 |        693 |
| src\app\(platform)\eic                                                               |         19 |      7,212 |        183 |        580 |      7,975 |
| src\app\(platform)\eic (Files)                                                       |          2 |        110 |          1 |         11 |        122 |
| src\app\(platform)\eic\assessments                                                   |          2 |      1,075 |         22 |        105 |      1,202 |
| src\app\(platform)\eic\assessments (Files)                                           |          1 |        267 |          3 |         24 |        294 |
| src\app\(platform)\eic\assessments\[id]                                              |          1 |        808 |         19 |         81 |        908 |
| src\app\(platform)\eic\discharge                                                     |          1 |        455 |          3 |         17 |        475 |
| src\app\(platform)\eic\discharge\[id]                                                |          1 |        455 |          3 |         17 |        475 |
| src\app\(platform)\eic\enrollments                                                   |          2 |      1,403 |         29 |         82 |      1,514 |
