"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "Docker", "TypeScript JSX", "JSON", "YAML", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\frontend\lib\dummy-module.js", "JavaScript", 0, 0, -9, 0, 0, 0, 0, 0, 0, -1, -2, -12
"d:\HDSP_HYBRID\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -6
"d:\HDSP_HYBRID\frontend\next.config.mjs", "JavaScript", 0, 0, -101, 0, 0, 0, 0, 0, 0, -18, -13, -132
"d:\HDSP_HYBRID\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7999, 0, 0, 0, -1, -8000
"d:\HDSP_HYBRID\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, -1, -55
"d:\HDSP_HYBRID\frontend\public\logo-full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -15787, 0, -90, -15877
"d:\HDSP_HYBRID\frontend\public\logo-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -11196, 0, -52, -11248
"d:\HDSP_HYBRID\frontend\src\app\(auth)\change-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -169, 0, 0, 0, 0, -15, -184
"d:\HDSP_HYBRID\frontend\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -801, 0, 0, 0, -55, -46, -902
"d:\HDSP_HYBRID\frontend\src\app\(auth)\setup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -202, 0, 0, 0, -4, -20, -226
"d:\HDSP_HYBRID\frontend\src\app\(platform)\attendance\monitoring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -424, 0, 0, 0, 0, -26, -450
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\displays\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -870, 0, 0, 0, -20, -74, -964
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\emergency\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -136, 0, 0, 0, 0, -16, -152
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\groups\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -135, 0, 0, 0, 0, -19, -154
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\media\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -294, 0, 0, 0, -2, -23, -319
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\monitoring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -245, 0, 0, 0, -1, -24, -270
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -612, 0, 0, 0, -14, -52, -678
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -149, 0, 0, 0, 0, -13, -162
"d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -107, 0, 0, 0, 0, -14, -121
"d:\HDSP_HYBRID\frontend\src\app\(platform)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -634, 0, 0, 0, -23, -36, -693
