Date : 2026-07-16 13:33:02
Directory : d:\HDSP_HYBRID\vendor-portal
Total : 204 files,  -53705 codes, -1481 comments, -2467 blanks, all -57653 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |          1 |         82 |          0 |         35 |        117 |
| YAML               |          1 |         62 |          0 |          5 |         67 |
| JSON with Comments |          3 |         28 |          0 |          1 |         29 |
| Docker             |          2 |         27 |          0 |          4 |         31 |
| TypeScript         |         60 |         11 |        -59 |        104 |         56 |
| JavaScript         |          3 |       -105 |        -18 |        -14 |       -137 |
| JSON               |          6 |       -275 |          0 |          2 |       -273 |
| TypeScript JSX     |        126 |    -26,552 |     -1,404 |     -2,462 |    -30,418 |
| XML                |          2 |    -26,983 |          0 |       -142 |    -27,125 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        204 |    -53,705 |     -1,481 |     -2,467 |    -57,653 |
| . (Files)                                                                                                 |          2 |        144 |          0 |         40 |        184 |
| ..                                                                                                        |        142 |    -68,096 |     -1,841 |     -3,338 |    -73,275 |
| ..\frontend                                                                                               |        142 |    -68,096 |     -1,841 |     -3,338 |    -73,275 |
| ..\frontend (Files)                                                                                       |          5 |     -8,181 |        -22 |        -18 |     -8,221 |
| ..\frontend\lib                                                                                           |          1 |         -9 |         -1 |         -2 |        -12 |
| ..\frontend\public                                                                                        |          2 |    -26,983 |          0 |       -142 |    -27,125 |
| ..\frontend\src                                                                                           |        134 |    -32,923 |     -1,818 |     -3,176 |    -37,917 |
| ..\frontend\src\app                                                                                       |         96 |    -28,914 |     -1,432 |     -2,577 |    -32,923 |
| ..\frontend\src\app (Files)                                                                               |          2 |        -43 |         -4 |         -6 |        -53 |
| ..\frontend\src\app\(auth)                                                                                |          3 |     -1,172 |        -59 |        -81 |     -1,312 |
| ..\frontend\src\app\(auth)\change-password                                                                |          1 |       -169 |          0 |        -15 |       -184 |
| ..\frontend\src\app\(auth)\login                                                                          |          1 |       -801 |        -55 |        -46 |       -902 |
| ..\frontend\src\app\(auth)\setup                                                                          |          1 |       -202 |         -4 |        -20 |       -226 |
| ..\frontend\src\app\(platform)                                                                            |         63 |    -22,582 |       -823 |     -1,906 |    -25,311 |
| ..\frontend\src\app\(platform) (Files)                                                                    |          1 |       -617 |        -31 |        -44 |       -692 |
| ..\frontend\src\app\(platform)\attendance                                                                 |          1 |       -424 |          0 |        -26 |       -450 |
| ..\frontend\src\app\(platform)\attendance\monitoring                                                      |          1 |       -424 |          0 |        -26 |       -450 |
| ..\frontend\src\app\(platform)\cms                                                                        |          8 |     -2,548 |        -37 |       -235 |     -2,820 |
| ..\frontend\src\app\(platform)\cms\displays                                                               |          1 |       -870 |        -20 |        -74 |       -964 |
| ..\frontend\src\app\(platform)\cms\emergency                                                              |          1 |       -136 |          0 |        -16 |       -152 |
| ..\frontend\src\app\(platform)\cms\groups                                                                 |          1 |       -135 |          0 |        -19 |       -154 |
| ..\frontend\src\app\(platform)\cms\media                                                                  |          1 |       -294 |         -2 |        -23 |       -319 |
| ..\frontend\src\app\(platform)\cms\monitoring                                                             |          1 |       -245 |         -1 |        -24 |       -270 |
| ..\frontend\src\app\(platform)\cms\playlists                                                              |          2 |       -761 |        -14 |        -65 |       -840 |
| ..\frontend\src\app\(platform)\cms\playlists (Files)                                                      |          1 |       -149 |          0 |        -13 |       -162 |
| ..\frontend\src\app\(platform)\cms\playlists\[id]                                                         |          1 |       -612 |        -14 |        -52 |       -678 |
| ..\frontend\src\app\(platform)\cms\settings                                                               |          1 |       -107 |          0 |        -14 |       -121 |
| ..\frontend\src\app\(platform)\dashboard                                                                  |          1 |       -634 |        -23 |        -36 |       -693 |
| ..\frontend\src\app\(platform)\eic                                                                        |         19 |     -7,212 |       -183 |       -580 |     -7,975 |
| ..\frontend\src\app\(platform)\eic (Files)                                                                |          2 |       -110 |         -1 |        -11 |       -122 |
| ..\frontend\src\app\(platform)\eic\assessments                                                            |          2 |     -1,075 |        -22 |       -105 |     -1,202 |
| ..\frontend\src\app\(platform)\eic\assessments (Files)                                                    |          1 |       -267 |         -3 |        -24 |       -294 |
| ..\frontend\src\app\(platform)\eic\assessments\[id]                                                       |          1 |       -808 |        -19 |        -81 |       -908 |
| ..\frontend\src\app\(platform)\eic\discharge                                                              |          1 |       -455 |         -3 |        -17 |       -475 |
| ..\frontend\src\app\(platform)\eic\discharge\[id]                                                         |          1 |       -455 |         -3 |        -17 |       -475 |
| ..\frontend\src\app\(platform)\eic\enrollments                                                            |          2 |     -1,403 |        -29 |        -82 |     -1,514 |
| ..\frontend\src\app\(platform)\eic\enrollments\[id]                                                       |          1 |     -1,161 |        -23 |        -58 |     -1,242 |
| ..\frontend\src\app\(platform)\eic\enrollments\new                                                        |          1 |       -242 |         -6 |        -24 |       -272 |
| ..\frontend\src\app\(platform)\eic\patients                                                               |          4 |     -1,061 |        -26 |        -88 |     -1,175 |
| ..\frontend\src\app\(platform)\eic\patients (Files)                                                       |          1 |       -235 |         -2 |        -12 |       -249 |
| ..\frontend\src\app\(platform)\eic\patients\[id]                                                          |          1 |       -368 |        -12 |        -30 |       -410 |
| ..\frontend\src\app\(platform)\eic\patients\new                                                           |          1 |       -210 |         -4 |        -21 |       -235 |
| ..\frontend\src\app\(platform)\eic\patients\search                                                        |          1 |       -248 |         -8 |        -25 |       -281 |
| ..\frontend\src\app\(platform)\eic\preschool                                                              |          3 |     -1,255 |        -44 |       -118 |     -1,417 |
